date	close	SMA_14D
2021-04-27	2290.98	
2021-04-26	2309.93	
2021-04-23	2299.93	2274.1
2021-04-22	2252.52	2266.6
2021-04-21	2278.35	2260.0
2021-04-20	2279.01	2251.4
2021-04-19	2289.76	2238.3
2021-04-16	2282.75	2222.8
2021-04-15	2285.25	2205.3
2021-04-14	2241.91	2187.6
2021-04-13	2254.43	2169.2
2021-04-12	2244.62	2152.6
2021-04-09	2270.67	2137.2
2021-04-08	2250.43	
2021-04-07	2239.03	
2021-04-06	2209.26	
2021-04-05	2218.96	
2021-04-01	2129.78	
2021-03-31	2062.52	
2021-03-30	2046.47	
2021-03-29	2045.79	
2021-03-26	2024.73	
2021-03-25	2032.46	
2021-03-24	2032.53	
2021-03-23	2041.33	
