date	close	SMA_14D
2021-04-26	261.55	
2021-04-23	261.15	
2021-04-22	257.17	256.9
2021-04-21	260.58	255.9
2021-04-20	258.26	254.8
2021-04-19	258.74	253.3
2021-04-16	260.74	251.4
2021-04-15	259.5	249.7
2021-04-14	255.59	248.0
2021-04-13	258.49	246.0
2021-04-12	255.91	244.4
2021-04-09	255.85	243.0
2021-04-08	253.25	241.6
2021-04-07	249.9	239.8
2021-04-06	247.86	238.3
2021-04-05	249.07	236.8
2021-04-01	242.35	236.0
2021-03-31	235.77	235.2
2021-03-30	231.85	234.6
2021-03-29	235.24	234.3
2021-03-26	236.48	234.5
2021-03-25	232.34	234.7
2021-03-24	235.46	234.4
2021-03-23	237.58	234.4
2021-03-22	235.99	234.0
2021-03-19	230.35	233.2
2021-03-18	230.72	232.8
2021-03-17	237.04	233.3
2021-03-16	237.71	233.7
2021-03-15	234.81	233.6
2021-03-12	235.75	233.3
2021-03-11	237.13	232.9
2021-03-10	232.42	232.5
2021-03-09	233.78	232.8
2021-03-08	227.39	233.4
2021-03-05	231.6	233.7
2021-03-04	226.73	234.4
2021-03-03	227.56	235.3
2021-03-02	233.87	236.4
2021-03-01	236.94	237.6
2021-02-26	232.38	238.6
2021-02-25	228.99	238.9
2021-02-24	234.55	239.4
2021-02-23	233.27	240.2
2021-02-22	234.51	240.9
2021-02-19	240.97	241.6
2021-02-18	243.79	242.4
2021-02-17	244.2	242.2
2021-02-16	243.7	241.7
2021-02-12	244.99	241.3
2021-02-11	244.49	241.0
2021-02-10	242.82	240.1
2021-02-09	243.77	239.0
2021-02-08	242.47	237.8
2021-02-05	242.2	236.3
2021-02-04	242.01	234.6
2021-02-03	243.0	232.5
2021-02-02	239.51	230.4
2021-02-01	239.65	228.5
2021-01-29	231.96	226.7
2021-01-28	238.93	224.9
2021-01-27	232.9	223.7
2021-01-26	232.33	222.5
2021-01-25	229.53	
2021-01-22	225.95	
2021-01-21	224.97	
2021-01-20	224.34	
2021-01-19	216.44	
2021-01-15	212.65	
2021-01-14	213.02	
2021-01-13	216.34	
2021-01-12	214.93	
2021-01-11	217.49	
2021-01-08	219.62	
2021-01-07	218.29	
